Name,Birth,Region,Energy,CarbonDioxide,Fertility,IndustrialGrowth,Laborforce,LifeExpectancy,Unemployment
Niger,47.08,Africa,1540000.0,2374000.0,6.82,4.09,9411000,60.09,0.75
Angola,41.8,Africa,11693000.0,19362000.0,5.83,-8.34,14462000,62.11,8.53
Benin,41.15,Africa,8468000.0,6903000.0,5.43,9.12,5295000,62.21,1.57
Mali,41.07,Africa,4396000.0,5679000.0,5.54,1.01,7900000,62.41,7.72
Uganda,40.94,Africa,2943000.0,5841000.0,5.36,3.47,16995000,68.96,2.94
Chad,40.45,Africa,1575000.0,1771000.0,5.46,0.3,5246000,59.15,1.88
Congo Democratic Republic of the,40.08,Africa,1371000.0,2653000.0,5.63,7.78,33382000,61.83,5.43
Somalia,37.98,Africa,802000.0,882000.0,5.31,3.5,3042000,55.72,19.86
Mozambique,37.47,Africa,8107000.0,7753000.0,4.81,-0.42,14137000,57.1,3.98
Liberia,36.64,Africa,3790000.0,1346000.0,4.79,16.25,2289000,65.45,4.09
Guinea-Bissau,36.45,Africa,2460000.0,342000.0,4.69,-0.7,867500,63.68,6.76
Guinea,35.67,Africa,4133000.0,2981000.0,4.85,3.9,4890000,63.9,6.34
Cameroon,35.53,Africa,6187000.0,7105000.0,4.55,3.22,11810000,63.27,3.87
Afghanistan,35.46,South Asia,3227000.0,7893000.0,4.62,-14.19,9390000,53.65,13.28
Burundi,35.17,Africa,1087000.0,715000.0,5.03,1.4,5271000,67.42,1.79
Zambia,34.86,Africa,11595000.0,6798000.0,4.56,4.18,8113000,66.26,13.03
Nigeria,34.19,Africa,8466000.0,104494000.0,4.62,-0.47,65116000,61.33,9.79
Burkina Faso,33.57,Africa,3230000.0,4444000.0,4.27,8.73,8016000,63.44,4.76
Sudan,33.47,Africa,8047000.0,17319000.0,4.6,-0.7,12921000,67.12,19.81
Tanzania,33.3,Africa,3334000.0,11491000.0,4.39,6.5,29863000,70.19,2.65
Zimbabwe,33.07,Africa,11516000.0,7902000.0,3.89,6.37,7916000,63.32,5.17
Central African Republic,32.79,Africa,1121000.0,285000.0,4.04,-0.24,2015000,55.52,6.57
Sierra Leone,32.2,Africa,1803000.0,899000.0,3.8,17.41,2858000,58.76,5.33
Togo,31.86,Africa,4113000.0,2244000.0,4.23,5.32,2965000,71.36,4.0
Congo Republic of the,31.82,Africa,16156000.0,4523000.0,4.36,-7.91,2268000,62.1,23.01
Senegal,31.51,Africa,9221000.0,10696000.0,4.27,10.91,4377000,69.96,3.72
Timor-Leste,30.94,East and Southeast Asia,5740000.0,538000.0,4.21,5.65,569700,69.92,5.07
Ethiopia,30.49,Africa,3219000.0,16798000.0,3.99,7.26,56664000,68.25,3.69
Equatorial Guinea,29.95,Africa,57596000.0,4528000.0,4.26,-6.46,549800,63.7,9.24
Papua New Guinea,29.03,East and Southeast Asia,11316000.0,6491000.0,3.92,-7.5,3073000,69.43,2.75
Gambia The,28.78,Africa,3547000.0,606000.0,3.79,10.4,856100,67.6,11.21
Madagascar,28.68,Africa,2307000.0,4218000.0,3.62,-21.56,14813000,68.17,2.59
Ghana,28.55,Africa,11239000.0,18093000.0,3.66,-0.8,14095000,69.37,4.7
Cote d'Ivoire,28.3,Africa,8225000.0,11880000.0,3.53,6.2,8876000,62.26,3.47
Sao Tome and Principe,28.19,Africa,11636000.0,173000.0,3.56,1.44,71400,67.06,15.91
Mauritania,28.06,Africa,13558000.0,4041000.0,3.53,-6.61,1197000,65.22,11.46
Malawi,27.94,Africa,1809000.0,1542000.0,3.4,1.9,8551000,72.44,7.02
